route,component,answer_text,next_or_outcome
/sea,Radio,In the 'Sea',/jurisdiction
/sea,Radio,Over the 'Sea',/jurisdiction
/sea,Radio,On or under the 'Seabed',/jurisdiction
/sea,Radio,Other,/exemption/licence-not-required/sea
/jurisdiction,Radio,In English waters,/activity-type
/jurisdiction,Radio,In Northern Ireland offshore waters,/activity-type
/jurisdiction,Radio,In other UK waters,/licence-not-required-devolved
/jurisdiction,Radio,Somewhere else in the world,/elsewhere-in-the-world/activity-type
/elsewhere-in-the-world/activity-type,Radio,Deposit a substance or object,/elsewhere-in-the-world/deposit
/elsewhere-in-the-world/activity-type,Radio,Sinking of a vessel or floating container,/elsewhere-in-the-world/scuttling
/elsewhere-in-the-world/activity-type,Radio,Incinerate a substance or object,/elsewhere-in-the-world/incineration
/elsewhere-in-the-world/activity-type,Radio,Other,/exemption/licence-not-required/Activity-elsewhere
/elsewhere-in-the-world/deposit,Radio,From a British vessel,/exemption/licence-required-no-exemption-no-self-service
/elsewhere-in-the-world/deposit,Radio,From a British marine structure,/exemption/licence-required-no-exemption-no-self-service
/elsewhere-in-the-world/deposit,Radio,From a British aircraft,/exemption/licence-required-no-exemption-no-self-service
/elsewhere-in-the-world/deposit,Radio,"From a Floating container and the deposit is controlled by a British vessel, British aircraft or British marine structure",/exemption/licence-required-no-exemption-no-self-service
/elsewhere-in-the-world/deposit,Radio,Other,/elsewhere-in-the-world/deposit/where-loaded
/elsewhere-in-the-world/deposit/where-loaded,Radio,United Kingdom (except Scotland),/exemption/licence-required-no-exemption-no-self-service
/elsewhere-in-the-world/deposit/where-loaded,Radio,UK marine licensing area,/exemption/licence-required-no-exemption-no-self-service
/elsewhere-in-the-world/deposit/where-loaded,Radio,Somewhere else,/exemption/licence-not-required/deposit-method-elsewhere
/elsewhere-in-the-world/incineration,Radio,On a British vessel,/exemption/licence-required-no-exemption-no-self-service
/elsewhere-in-the-world/incineration,Radio,On a British marine structure,/exemption/licence-required-no-exemption-no-self-service
/elsewhere-in-the-world/incineration,Radio,"On a floating container controlled from a British vessel, British aircraft, or British marine structure.",/exemption/licence-required-no-exemption-no-self-service
/elsewhere-in-the-world/incineration,Radio,Other,/elsewhere-in-the-world/incineration/where-loaded
/elsewhere-in-the-world/incineration/where-loaded,Radio,United Kingdom (except Scotland),/exemption/licence-required-no-exemption-no-self-service
/elsewhere-in-the-world/incineration/where-loaded,Radio,UK marine licensing area,/exemption/licence-required-no-exemption-no-self-service
/elsewhere-in-the-world/incineration/where-loaded,Radio,Somewhere else,/exemption/licence-not-required/incineration-method-elsewhere
/elsewhere-in-the-world/scuttling,Radio,From a British vessel,/exemption/licence-required-no-exemption-no-self-service
/elsewhere-in-the-world/scuttling,Radio,From a British aircraft,/exemption/licence-required-no-exemption-no-self-service
/elsewhere-in-the-world/scuttling,Radio,From a British marine structure,/exemption/licence-required-no-exemption-no-self-service
/elsewhere-in-the-world/scuttling,Radio,Other,/elsewhere-in-the-world/scuttling/towed-or-propelled-from-uk
/elsewhere-in-the-world/scuttling/towed-or-propelled-from-uk,Radio,United Kingdom (except Scotland),/exemption/licence-required-no-exemption-no-self-service
/elsewhere-in-the-world/scuttling/towed-or-propelled-from-uk,Radio,UK marine licensing area (unless towing or propelling began outside of that area),/exemption/licence-required-no-exemption-no-self-service
/elsewhere-in-the-world/scuttling/towed-or-propelled-from-uk,Radio,Somewhere else,/exemption/licence-not-required/scuttling-method-elsewhere
/activity-type,Radio,Construction,/construction/journey-select
/activity-type,Radio,Deposit of a substance or object,/deposit/method
/activity-type,Radio,Removal of a substance or object,/removal/method
/activity-type,Radio,Dredging,/dredging/journey-select
/activity-type,Radio,Incineration of a substance or object,/incineration/method
/activity-type,Radio,Use of an explosive substance,/exemption/licence-required-no-exemption
/activity-type,Radio,Sinking of a vessel or floating container,/exemption/licence-required-no-exemption
/deposit/method,Radio,From a vehicle or vessel,/deposit/journey-select
/deposit/method,Radio,From an aircraft,/deposit/journey-select
/deposit/method,Radio,From a marine structure,/deposit/journey-select
/deposit/method,Radio,From a floating container in the 'Sea',/deposit/journey-select
/deposit/method,Radio,From a structure on land constructed or adapted wholly or mainly for the purposes of depositing solids in the 'Sea',/deposit/journey-select
/deposit/method,Radio,Other,/exemption/licence-not-required/deposit-method
/removal/method,Radio,Using a vehicle or vessel,/removal
/removal/method,Radio,Using an aircraft,/removal
/removal/method,Radio,Using a marine structure,/removal
/removal/method,Radio,Using a floating container in the 'Sea',/removal
/removal/method,Radio,Using a structure on land constructed or adapted wholly or mainly for the purposes of depositing solids in the 'Sea',/removal
/removal/method,Radio,Other,/exemption/licence-not-required/removal-method
/removal,Radio,Yes,/removal/journey-select
/removal,Radio,No,/exemption/licence-not-required/removal-seabed
/incineration/method,Radio,On a vehicle,/exemption/licence-required-no-exemption
/incineration/method,Radio,On a vessel,/exemption/licence-required-no-exemption
/incineration/method,Radio,On a marine structure,/exemption/licence-required-no-exemption
/incineration/method,Radio,On a floating container,/exemption/licence-required-no-exemption
/incineration/method,Radio,Other,/exemption/licence-not-required/Incineration-on
/construction/activity,Radio,Maintenance of existing structures or assets,/construction/maintenance-existing-works
/construction/activity,Radio,Other,/standard-marine-licence-application/other-activity
/deposit/activity,Radio,Deposit of markers,/deposit/markers/harbour-authority
/deposit/activity,Radio,Burial at Sea,/burial-at-sea/completion
/deposit/activity,Radio,Other,/standard-marine-licence-application/other-activity
/removal/activity,Radio,Minor removals,/removal/activities
/removal/activity,Radio,Other,/standard-marine-licence-application/other-activity
/dredging/activity,Radio,Non-navigational clearance dredging,/dredging/activities
/dredging/activity,Radio,Beach maintenance activities,/dredging/beach-maintenance/activities
/dredging/activity,Radio,Other,/standard-marine-licence-application/other-activity
/construction/maintenance-existing-works,Radio,Scaffolding or access towers,
/construction/maintenance-existing-works,Radio,Re-painting of existing structures or assets,
/construction/maintenance-existing-works,Radio,Sand or grit blasting,
/construction/maintenance-existing-works,Radio,Removal of marine growth,
/construction/maintenance-existing-works,Radio,"Re-rendering, resurfacing or repointing of existing structures or slipways",
/construction/maintenance-existing-works,Radio,Removal of a single pile,
/construction/maintenance-existing-works,Radio,Replacing a single pile,
/construction/maintenance-existing-works,Radio,Installation of ladders,
/construction/maintenance-existing-works,Radio,Minor maintenance,
/construction/maintenance-existing-works,Radio,Other maintenance,
/construction/maintenance-existing-works/scaffolding,Radio,Yes,/construction/maintenance-existing-works/scaffolding/harbour-authority
/construction/maintenance-existing-works/scaffolding,Radio,No,/activity/completion
/construction/maintenance-existing-works/scaffolding/harbour-authority,Radio,Yes,/construction/maintenance-existing-works/scaffolding/harbour-authority-agreed
/construction/maintenance-existing-works/scaffolding/harbour-authority,Radio,No,/construction/maintenance-existing-works/scaffolding/mca-th-agreed
/construction/maintenance-existing-works/scaffolding/harbour-authority-agreed,Radio,Yes,/activity/completion
/construction/maintenance-existing-works/scaffolding/harbour-authority-agreed,Radio,No,/scaffolding-impede-navigation
/construction/maintenance-existing-works/scaffolding/mca-th-agreed,Radio,Yes,/activity/completion
/construction/maintenance-existing-works/scaffolding/mca-th-agreed,Radio,No,/scaffolding-mca-th-agreed
/deposit/markers/harbour-authority,Radio,Yes,/deposit/markers/lighting-ha
/deposit/markers/harbour-authority,Radio,No,/deposit/markers/lighting-th
/deposit/markers/lighting-ha,Radio,Yes,/deposit/markers/activities
/deposit/markers/lighting-ha,Radio,No,/markers/ha-not-agreed
/deposit/markers/lighting-th,Radio,Yes,/deposit/markers/activities
/deposit/markers/lighting-th,Radio,No,/markers/th-not-agreed
/burial-at-sea/completion,Radio,Yes,/burial-at-sea/site
/burial-at-sea/completion,Radio,No,/standard-marine-licence-application/bas-duration
/burial-at-sea/site,Radio,"Needles, Isle of Wight",/burial-at-sea/site/needles
/burial-at-sea/site,Radio,"Tynemouth, Northumberland",/burial-at-sea/site/tynemouth
/burial-at-sea/site,Radio,"Between Hastings and Newhaven, South Coast",/burial-at-sea/site/between-hastings-and-newhaven
/burial-at-sea/site,Radio,Other location,/standard-marine-licence-application/bas-other-location
/burial-at-sea/site/needles,Radio,Yes,/fast-track-mla
/burial-at-sea/site/needles,Radio,No,/fast-track-mla/bas-block
/burial-at-sea/site/tynemouth,Radio,Yes,/fast-track-mla
/burial-at-sea/site/tynemouth,Radio,No,/fast-track-mla/bas-block
/burial-at-sea/site/between-hastings-and-newhaven,Radio,Yes,/fast-track-mla
/burial-at-sea/site/between-hastings-and-newhaven,Radio,No,/fast-track-mla/bas-block
/removal/activities,Radio,Litter,
/removal/activities,Radio,Discreet minor objects,
/removal/activities,Radio,Discreet minor objects from heritage designations,
/removal/activities,Radio,Discreet minor objects of archaeological or historic interest,
/removal/activities,Radio,Boreholes,
/removal/activities,Radio,Trial pits,
/removal/activities,Radio,Grab samples,
/removal/activities,Radio,Removal of a single pile,
/removal/activities,Radio,Other removals,
/dredging/activities,Radio,Non-navigational clearance dredging (within a heritage designation or a wreck site elsewhere in the sea),
/dredging/activities,Radio,Non-navigational clearance dredging (for operational purposes),
/dredging/activities,Radio,Other clearance dredging,
/dredging/beach-maintenance/activities,Radio,Beach re-profiling,
/dredging/beach-maintenance/activities,Radio,Beach recycling,
/dredging/beach-maintenance/activities,Radio,Replacing wind blown sand,
/dredging/beach-maintenance/activities,Radio,Other beach maintenance,
/deposit/markers/activities,Radio,Marker posts,
/deposit/markers/activities,Radio,Marker buoys,
/deposit/markers/activities,Radio,Other deposits,
/activity/completion,Radio,Yes,/public-register
/activity/completion,Radio,No,/standard-marine-licence-application/duration
/public-register,Radio,Yes,/standard-marine-licence-application/public-register
/public-register,Radio,No,/part-of-larger-project
/part-of-larger-project,Radio,Yes,/eia-directive
/part-of-larger-project,Radio,No,/single-location
/eia-directive,Radio,Yes,/activities/ground
